age,religion,community,income,gender,segment,scheme,link
29,christian,others,1896000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
42,muslim,others,1528000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
58,hindu,sc,1520000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
59,hindu,oc,963000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
38,hindu,bc,910000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
29,others,oc,1862000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
39,muslim,others,1355000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
28,others,mbc,1953000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
49,muslim,oc,722000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
46,christian,sc,1654000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
51,muslim,sc,1043000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
33,muslim,oc,828000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
48,christian,mbc,1261000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
38,christian,others,1383000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
29,others,oc,832000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
37,others,sc,1995000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
57,others,others,1323000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
50,others,others,1296000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
41,hindu,mbc,1583000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
38,hindu,mbc,1142000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
41,others,oc,1321000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
27,hindu,oc,1053000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
33,muslim,oc,1226000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
39,others,oc,1433000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
43,others,oc,1193000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
49,hindu,mbc,1762000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
26,christian,sc,1814000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
38,others,others,1649000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
38,hindu,mbc,994000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
47,christian,bc,1372000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
36,others,oc,1110000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
46,others,bc,1017000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
28,hindu,mbc,1894000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
42,others,others,1774000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
51,christian,sc,1390000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
49,others,bc,1519000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
33,hindu,oc,669000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
42,christian,sc,1598000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
31,christian,others,1675000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
56,muslim,sc,714000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
26,muslim,sc,1161000,female,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
26,hindu,bc,862000,others,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
34,christian,bc,1940000,male,government employee,['new health insurance scheme'],['https://www.tn.gov.in/scheme/data_view/6787']
