age,religion,community,income,gender,segment,scheme,link
27,hindu,mbc,135000,others,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
9,muslim,bc,220000,others,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
47,others,sc,98000,female,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
37,christian,oc,101000,others,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
22,muslim,sc,209000,female,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
52,muslim,oc,156000,female,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
23,muslim,sc,87000,male,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
51,others,mbc,130000,male,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
62,christian,sc,103000,male,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
19,muslim,mbc,186000,male,sports person,"['youth welfare and sports development department - outstanding sports persons', 'Youth Welfare and Sports Development Department - CHIEF MINISTER STATE SPORTS AWARD', 'Youth Welfare and Sports Development Department - National Cadet Crops Certificate holders']","['https://www.tn.gov.in/scheme/data_view/3389', 'https://www.tn.gov.in/scheme/data_view/3393', 'https://www.tn.gov.in/scheme/data_view/3406']"
